Provenr	Medium_id	Enhet_id	Coordites	Vannlok_kode	Aktivitet_id	Tid_provetak	Site_me	Site_Category	Site_Comment	Season_Comment	Provetakmetode_id		Short	ABT	BTSA	MTBT	PhBT	OHBT	MBT	CPPD	6PPDq	DPPD	DNPD	IPPD	77PD	6PPD	7PPD	44PD	MTDID	NDPD	MPAMS	BPSE	PPPA	BOPA	TMMAT	DPG	TMQ	Amitryptyline	Fexofedine  	Indoxacarb	Fipronil	Cyhalothrin	OP	BPAE	TAI	TAOT	CTC_CTA	BCPS	isoTAC	TAC	4_4_ADP	TMBP	OH_BPA	BPS2	BIS_TMC	BP_8	4_HBP	TCM	DCM	TCE	PCE	CCl4	DBM	12_PFECA	112_PFECA	1112_PFECA	11112_PFECA	13_PFECA	L6	L7	L8	L9	L10	LCCP
NR-2022-06909	Water	ng/L	N 6648116.03, E 603920.36			44868	Appal?kka_Grei	Artificial grass pitch	Outdoor		column			<1	34.5	<1	<1	12.8	<1	<1	<1	<1	<1	<1	<1	5.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	392	<1						<1	<10	<1	<1	< 1	< 1	0	< 5																								1304
NR-2022-06910	Water	ng/L	N 6644256.21, E 600713.35			44872	Valle Hovin Nord	Artificial grass pitch	Outdoor		column			13.1	171	<1	<1	175	<1	<1	<1	<1	<1	<1	<1	4	<1	<1	<1	<10	<1	<1	<1	<1	59	111	<1						<1	<10	<1	<1	< 1	< 1	< 0.25	< 5																								10
NR-2022-06911	Water	ng/L	N 6644164.96, E 600860.36			44872	Valle Hovin ?st	Artificial grass pitch	Outdoor		column			47.5	1340	11.8	7.5	1415	<1	<1	320	<1	<1	<1	<1	17	<1	<1	<1	<10	<1	<1	<1	<1	3230	3365	131						8	<10	<1	<1	< 1	< 1	< 0.25	< 5																								1
NR-2022-06803	Granule	ng/g	N 6648116.03, E 603920.36			44704	Appal?kka_Grei	Artificial grass pitch	Outdoor		Grabb			21.9	162	23.9	521	158	45.3	<1	1420	41.3	<1	<1	<1	40.8	<1	<1	<1	<10	<1	<1	<1	<1	<1	6300	1610						<1	<10	<1	<1	< 5	< 2	1	< 2																								3936
NR-2022-06802	Sediment	ng/g	N 6648116.03, E 603920.36			44704	Appal?kka_Grei	Artificial grass pitch	Outdoor		Grabb			3.1	40.5	<1	8.2	8	4.5	<1	118.5	10.5	<1	<1	<1	73.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	760	720						<1	<10	<1	<1	< 2	< 0.2	0	< 2																								
NR-2022-06818	Granule	ng/g	N 6644256.21, E 600713.35			44872	Valle Hovin Nord	Artificial grass pitch	Outdoor		Grabb			12.2	275	17.9	328	84.1	47.9	<1	782	16.9	<1	<1	<1	128	<1	<1	<1	<10	<1	<1	<1	<1	157	6880	223						<1	<10	<1	<1	< 5	< 2	0	< 2																			< 1	2	6	9	< 4	5527
NR-2022-06816	Sediment	ng/g				44872	Valle Hovin S?r	Artificial grass pitch	Outdoor		Grabb			<1	<1	<1	<1	<1	<1	<1	95.5	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	66.5	<1	655	4.5						<1	<10	<1	<1	< 2	< 0.2	1	< 2																			0	7	99	233	47	
NR-2022-06819	Granule	ng/g	N 6644164.96, E 600860.36			44872	Valle Hovin ?st	Artificial grass pitch	Outdoor		Grabb			16.9	60.2	17.9	385	111	46.2	<1	1410	67	<1	<1	<1	181	<1	<1	<1	<10	<1	<1	<1	<1	139	8860	1120						<1	<10	<1	<1	< 5	< 2	0	< 2																			< 1	4	7	10	5	5233
NR-2022-06817	Sediment	ng/g	N 6644164.96, E 600860.36			44872	Valle Hovin ?st	Artificial grass pitch	Outdoor		Grabb			14	108	4.5	335	312	171	<1	1935	530	<1	104	<1	2460	<1	<1	<1	<10	<1	<1	<1	<1	90.5	3325	13000						<1	<10	<1	<1	< 2	< 0.2	< 0.2	< 2																			2	6	19	12	< 5	
NR-2022-06821	Granule	ng/g				???	Obos1	Artificial grass pitch	Indoor		Grabb			37.1	517	55.3	1090	2770	242	196	4540	2200	<1	1750	<1	8050	363	<1	<1	<10	<1	<1	<1	236	4390	8060	50100						1320	<10	<1	<1	< 5	< 2	13	< 2																			21	85	118	82	42	13442
