Provenr	Medium_id	Enhet_id	Latitude	Longitude	Vannlok_kode	Aktivitet_id	Tid_provetak	Site_name	Site_Category	Comment_location	Comment_season	Comment_condition	Site_Comment	Provetakmetode_id	X	Short	compound	value	Medium_id2	Site_Category2
NR-2022-06909	Water, total (ng/L)	ng/L	NA	N 6648116.03, E 603920.36	NA	NA	44868	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	column	NA	NA	ABT	<1	NA	Artificial grass pitch
NR-2022-06910	Water, total (ng/L)	ng/L	NA	N 6644256.21, E 600713.35	NA	NA	07.11.2022	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	column	NA	NA	ABT	13.1	NA	Artificial grass pitch
NR-2022-06911	Water, total (ng/L)	ng/L	NA	N 6644164.96, E 600860.36	NA	NA	07.11.2022	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	column	NA	NA	ABT	47.5	NA	Artificial grass pitch
NR-2022-06803	Granule (ng/g, w.w.)	ng/g	NA	N 6648116.03, E 603920.36	NA	NA	44704	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	Grabb	NA	NA	ABT	21.9	Solids	Artificial grass pitch
NR-2022-06802	Sludge (ng/g, d.w.)	ng/g	NA	N 6648116.03, E 603920.36	NA	NA	44704	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	Grabb	NA	NA	ABT	3.1	Solids	Artificial grass pitch
NR-2022-06818	Granule (ng/g, w.w.)	ng/g	NA	N 6644256.21, E 600713.35	NA	NA	07.11.2022	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	Grabb	NA	NA	ABT	12.2	Solids	Artificial grass pitch
NR-2022-06816	Sludge (ng/g, d.w.)	ng/g	59.919	10.805	NA	NA	07.11.2022	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	Grabb	NA	NA	ABT	<1	Solids	Artificial grass pitch
NR-2022-06819	Granule (ng/g, w.w.)	ng/g	NA	N 6644164.96, E 600860.36	NA	NA	07.11.2022	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	Grabb	NA	NA	ABT	16.9	Solids	Artificial grass pitch
NR-2022-06817	Sludge (ng/g, d.w.)	ng/g	NA	N 6644164.96, E 600860.36	NA	NA	07.11.2022	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	Grabb	NA	NA	ABT	14	Solids	Artificial grass pitch
NR-2022-06821	Granule (ng/g, w.w.)	ng/g	59.958	10.86	NA	NA	12.09.2022	Obos1	Artificial grass pitch	Indoor	NA	NA	Indoor	Grabb	NA	NA	ABT	37.1	Solids	Artificial grass pitch
NR-2022-06822	Granule (ng/g, w.w.)	ng/g	59.958	10.86	NA	NA	12.09.2022	Obos2	Artificial grass pitch	Indoor	NA	NA	Indoor	Grabb	NA	NA	ABT	58.8	Solids	Artificial grass pitch
